"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4306,-0.0042279,-0.0025179,-0.0032939
4419,-0.0041853,-0.0026121,-0.0032842
4420,-0.0042193,-0.0025709,-0.0032337
4421,-0.0042536,-0.0025285,-0.0031856
4535,-0.0041742,-0.0026646,-0.0032252
4536,-0.00421,-0.0026226,-0.0031734
4537,-0.0042453,-0.0025793,-0.0031238
4653,-0.0042355,-0.0026295,-0.0030619
5733,-0.0041052,-0.0030749,-0.0024899
5734,-0.0041417,-0.0030261,-0.0024344
5854,-0.0040527,-0.0031715,-0.00248
5855,-0.0040905,-0.0031243,-0.0024232
5856,-0.0041271,-0.003076,-0.0023673
5977,-0.0040356,-0.0032187,-0.0024119
5978,-0.0040749,-0.003173,-0.0023554
5979,-0.0041129,-0.0031257,-0.0022997
7104,-0.0038867,-0.0036416,-0.0018168
7105,-0.0039298,-0.003598,-0.0017524
7232,-0.0038241,-0.0037282,-0.0018186
7233,-0.0038668,-0.0036874,-0.0017518
7234,-0.0039099,-0.0036439,-0.0016864
7360,-0.0038049,-0.0037732,-0.0017534
7361,-0.0038475,-0.0037326,-0.001686
7362,-0.0038905,-0.0036889,-0.0016203
7822,-0.0042372,0.0014375,0.0015313
7823,-0.0042517,0.0015083,0.0015758
7824,-0.0042648,0.0015808,0.001619
7825,-0.004276,0.0016553,0.0016606
7954,-0.0041928,0.0014738,0.0016319
7955,-0.0042083,0.0015453,0.0016769
8085,-0.0041295,0.0014411,0.0016837
8086,-0.0041471,0.0015116,0.0017304
8667,-0.0035664,-0.0042054,-0.0011669
8668,-0.0036062,-0.0041697,-0.0010948
8798,-0.0034908,-0.0042857,-0.0011882
8799,-0.0035313,-0.0042504,-0.0011153
8800,-0.0035711,-0.0042147,-0.001042
8931,-0.0034542,-0.0043303,-0.0011391
8932,-0.0034945,-0.0042953,-0.0010649
9018,-0.0037833,0.0019927,0.0024589
9150,-0.0036936,0.001807,0.0024141
9151,-0.0037039,0.0018862,0.0024597
9152,-0.0037114,0.0019669,0.0025016
9285,-0.0036275,0.0018637,0.0024965
9286,-0.0036362,0.0019435,0.0025403
9421,-0.0035581,0.0019224,0.0025747
10289,-0.0029601,-0.0047644,-0.00075505
10290,-0.0029923,-0.004733,-0.00067864
10291,-0.0030233,-0.0046986,-0.00060172
10363,-0.0028074,0.00085853,0.0021449
10364,-0.0027856,0.00095662,0.0021267
10365,-0.0027753,0.0010596,0.0021128
10371,-0.0028517,0.0015036,0.0023063
10372,-0.0028767,0.0015386,0.0023911
10427,-0.002902,-0.0048002,-0.00071349
10428,-0.0029327,-0.0047686,-0.00063624
10429,-0.0029628,-0.0047342,-0.00055916
10502,-0.0027114,0.0009354,0.0021627
10503,-0.0027003,0.0010397,0.0021461
10509,-0.0027639,0.0015124,0.0023032
10510,-0.0027883,0.0015449,0.002391
10567,-0.002843,-0.0048356,-0.0006738
10568,-0.0028721,-0.0048038,-0.00059534
10650,-0.0026998,0.0015519,0.0023878
10660,-0.0028512,0.0021692,0.0030068
10661,-0.00286,0.0022492,0.0030506
10799,-0.0027551,0.0020782,0.0029732
10800,-0.0027657,0.0021557,0.0030223
10801,-0.0027751,0.0022351,0.0030675
10941,-0.0026896,0.0022222,0.0030822
11485,-0.0021569,0.00080638,0.0022977
11486,-0.0021389,0.00090491,0.0022624
11493,-0.0021496,0.0015431,0.0023298
11494,-0.0021702,0.0015829,0.0024162
11626,-0.0020726,0.00079054,0.0023099
11627,-0.0020555,0.00088816,0.0022751
11628,-0.0020399,0.00098766,0.0022425
11634,-0.0020568,0.001529,0.0023232
11635,-0.0020784,0.0015732,0.0024071
11636,-0.0021025,0.0016123,0.0024953
11768,-0.0019704,0.00086873,0.0022864
11776,-0.0019874,0.0015622,0.0023985
11834,-0.0022386,-0.005144,-0.00038861
11835,-0.0022586,-0.0051124,-0.00030094
11977,-0.002166,-0.0051815,-0.0003602
11978,-0.0021856,-0.0051502,-0.0002711
12071,-0.0020081,0.0021436,0.0031569
12120,-0.002093,-0.0052213,-0.00033015
12121,-0.0021121,-0.0051905,-0.00023963
12214,-0.0019242,0.0021359,0.0031638
12215,-0.0019374,0.0022092,0.0032252
12358,-0.0018538,0.0022014,0.0032331
12500,-0.0017709,0.0021935,0.0032414
13267,-0.0014761,-0.0056296,-5.255e-05
13268,-0.0014878,-0.0055966,4.501e-05
13306,-0.0014786,-0.0026431,0.0021678
13411,-0.0013906,-0.0056838,-2.4064e-05
13412,-0.0014012,-0.0056507,7.469e-05
13413,-0.0014103,-0.0056113,0.00017198
13449,-0.0013894,-0.0027638,0.0021579
13450,-0.0013894,-0.0026779,0.0022139
13451,-0.0013849,-0.0025872,0.0022605
13556,-0.0013124,-0.0057036,0.0001019
13594,-0.0013026,-0.0027128,0.0022645
13595,-0.0012997,-0.0026212,0.0023124
13792,-0.0010252,0.0019339,0.0032411
13936,-0.00093548,0.0018421,0.0032006
13937,-0.00094695,0.001913,0.0032605
13938,-0.00095723,0.0019847,0.0033195
14011,-0.0010237,-0.0041873,0.0015722
14081,-0.00085788,0.0018191,0.0032209
