"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3855,-0.0050002,-0.0019201,-0.0038867
3856,-0.0050111,-0.0018621,-0.0038333
3857,-0.0050235,-0.0018003,-0.0037815
3967,-0.0049818,-0.0019874,-0.0038382
3968,-0.0049921,-0.0019281,-0.0037835
3969,-0.0050047,-0.0018659,-0.0037306
3970,-0.0050173,-0.0018038,-0.0036794
3971,-0.0050289,-0.0017426,-0.0036293
4079,-0.004963,-0.0020546,-0.0037858
4080,-0.0049736,-0.0019954,-0.0037296
4081,-0.0049854,-0.0019336,-0.0036756
4082,-0.004998,-0.0018718,-0.0036229
4083,-0.005012,-0.001811,-0.0035712
4192,-0.004956,-0.0020645,-0.0036733
4193,-0.0049683,-0.0020033,-0.0036177
4194,-0.0049824,-0.0019419,-0.0035636
5365,-0.0047811,-0.0028038,-0.0030951
5366,-0.0047997,-0.0027518,-0.0030243
5367,-0.0048188,-0.0026991,-0.0029549
5368,-0.0048382,-0.0026456,-0.0028875
5369,-0.0048574,-0.0025916,-0.0028217
5486,-0.0047579,-0.0028768,-0.0030305
5487,-0.0047778,-0.0028253,-0.0029596
5488,-0.0047979,-0.0027731,-0.0028897
5489,-0.0048179,-0.00272,-0.0028213
5490,-0.0048373,-0.0026663,-0.0027547
5608,-0.0047307,-0.0029479,-0.0029642
5609,-0.0047512,-0.0028964,-0.0028932
5610,-0.0047729,-0.0028451,-0.002823
5611,-0.0047946,-0.0027928,-0.0027541
6721,-0.0044234,-0.0036301,-0.002356
6722,-0.0044523,-0.0035809,-0.0022855
6723,-0.0044804,-0.0035316,-0.0022147
6724,-0.004507,-0.0034817,-0.0021441
6847,-0.0043878,-0.0037004,-0.0022743
6848,-0.0044183,-0.0036514,-0.0022028
6849,-0.0044478,-0.0036025,-0.0021314
6850,-0.0044755,-0.0035532,-0.0020609
6851,-0.0045025,-0.0035036,-0.0019921
6976,-0.0044141,-0.0036737,-0.0020489
7441,-0.0043128,0.0018394,0.0013705
7442,-0.004311,0.0019184,0.0014033
7569,-0.0042689,0.0017182,0.0013978
7570,-0.0042695,0.0017971,0.0014323
7571,-0.0042691,0.0018765,0.0014661
7698,-0.004222,0.0016763,0.0014572
7699,-0.0042241,0.0017554,0.0014929
7700,-0.0042247,0.0018352,0.0015272
7701,-0.0042239,0.0019154,0.0015605
7827,-0.0041727,0.0016354,0.0015148
7828,-0.0041765,0.0017144,0.0015517
7829,-0.0041781,0.0017944,0.001587
7830,-0.0041783,0.0018751,0.0016211
7959,-0.0041267,0.0016744,0.0016086
7960,-0.0041296,0.0017545,0.0016451
8008,-0.003992,-0.0043121,-0.001541
8009,-0.0040285,-0.0042669,-0.0014658
8010,-0.0040648,-0.0042195,-0.001393
8011,-0.0040999,-0.0041702,-0.0013212
8137,-0.003865,-0.0044603,-0.00161
8138,-0.0039009,-0.0044175,-0.0015304
8139,-0.0039376,-0.0043735,-0.0014535
8140,-0.0039746,-0.0043277,-0.0013795
8141,-0.004011,-0.0042794,-0.0013076
8142,-0.0040462,-0.0042294,-0.0012356
8269,-0.0038442,-0.0044773,-0.0014447
8270,-0.0038812,-0.0044331,-0.0013678
8271,-0.0039183,-0.0043863,-0.0012944
8272,-0.0039547,-0.0043373,-0.0012226
9157,-0.0035931,0.0022014,0.0023973
9290,-0.0035264,0.0020907,0.0024079
9291,-0.0035251,0.0021743,0.0024393
9292,-0.0035225,0.0022581,0.0024686
9425,-0.0034563,0.0020646,0.0024474
9426,-0.0034553,0.0021483,0.002479
9427,-0.0034533,0.002232,0.0025087
9560,-0.0033846,0.0020395,0.0024852
9562,-0.0033822,0.0022071,0.0025463
9602,-0.0031535,-0.0049777,-0.00065578
9603,-0.0031927,-0.0049295,-0.00058693
9604,-0.0032304,-0.00488,-0.00051714
9605,-0.0032668,-0.0048292,-0.00044615
9606,-0.003303,-0.0047776,-0.00037581
