"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4421,-0.0045906,-0.002239,-0.0030075
4422,-0.0046138,-0.0022009,-0.0029485
4535,-0.0045354,-0.0023556,-0.0030802
4536,-0.0045597,-0.0023213,-0.0030183
4537,-0.004584,-0.0022852,-0.0029581
4538,-0.0046074,-0.0022464,-0.0028994
4539,-0.004629,-0.0022047,-0.0028419
4651,-0.0045274,-0.0024063,-0.0030309
4652,-0.004551,-0.0023701,-0.0029688
4653,-0.0045747,-0.0023328,-0.0029085
4654,-0.0045978,-0.0022935,-0.0028497
4655,-0.0046196,-0.0022516,-0.0027921
4769,-0.0045401,-0.0024215,-0.0029194
4770,-0.0045628,-0.0023829,-0.0028584
4771,-0.0045857,-0.0023427,-0.0027991
4772,-0.004608,-0.0023004,-0.002741
4887,-0.0045282,-0.0024746,-0.0028693
4888,-0.0045501,-0.0024347,-0.0028077
4889,-0.0045727,-0.0023935,-0.0027475
4890,-0.0045958,-0.0023506,-0.0026887
6101,-0.0044269,-0.0029681,-0.0022437
6102,-0.0044533,-0.0029226,-0.00218
6224,-0.0043831,-0.0030646,-0.0022475
6225,-0.0044109,-0.0030205,-0.0021824
6226,-0.0044382,-0.0029751,-0.002119
6227,-0.004465,-0.0029285,-0.0020569
6348,-0.004367,-0.0031165,-0.0021864
6349,-0.0043954,-0.0030722,-0.0021211
6350,-0.0044233,-0.0030267,-0.0020576
6351,-0.0044506,-0.0029803,-0.0019954
6352,-0.0044777,-0.0029331,-0.0019341
6473,-0.0043512,-0.0031676,-0.0021251
6474,-0.0043804,-0.0031233,-0.0020598
6475,-0.0044087,-0.0030778,-0.001996
6476,-0.0044365,-0.0030317,-0.0019334
7491,-0.0042161,-0.0035384,-0.0015574
7492,-0.0042441,-0.0034974,-0.0014888
7493,-0.004272,-0.0034545,-0.0014212
7619,-0.0041582,-0.0036311,-0.0015627
7620,-0.0041866,-0.0035915,-0.0014944
7621,-0.0042149,-0.0035512,-0.001425
7622,-0.0042431,-0.0035095,-0.0013558
7623,-0.0042711,-0.0034654,-0.0012884
7748,-0.0041279,-0.0036836,-0.0015003
7749,-0.0041563,-0.0036442,-0.0014319
7750,-0.0041847,-0.0036047,-0.0013616
7751,-0.0042131,-0.0035642,-0.001291
7752,-0.0042415,-0.0035214,-0.0012221
7879,-0.0040976,-0.003736,-0.0014373
7880,-0.0041256,-0.0036968,-0.0013692
7881,-0.0041539,-0.003658,-0.0012981
7882,-0.0041825,-0.0036185,-0.0012264
7883,-0.0042111,-0.0035767,-0.0011565
7950,-0.0040219,0.0011747,0.0014594
7951,-0.0040215,0.0012547,0.0014869
7952,-0.004021,0.0013359,0.0015126
8011,-0.0040943,-0.0037493,-0.0013057
8081,-0.0039673,0.0011257,0.0015288
8082,-0.0039691,0.0012044,0.001558
8083,-0.0039706,0.0012853,0.0015846
8084,-0.0039716,0.0013685,0.0016091
8215,-0.0039207,0.0013165,0.0016806
9014,-0.0036018,0.0016803,0.0022134
9068,-0.003784,-0.0041542,-0.00082021
9069,-0.0038107,-0.0041131,-0.00075026
9147,-0.0035488,0.0015436,0.0022602
9148,-0.0035443,0.0016412,0.0022749
9149,-0.0035386,0.0017372,0.0022896
9150,-0.0035325,0.0018309,0.0023052
9201,-0.0037072,-0.0042459,-0.00083414
9202,-0.0037351,-0.0042058,-0.00076401
9203,-0.0037619,-0.0041646,-0.00069275
9204,-0.0037872,-0.0041223,-0.00062172
9281,-0.0034871,0.0015064,0.0023199
9282,-0.0034839,0.0016036,0.0023354
9283,-0.0034786,0.0016995,0.00235
9336,-0.0036551,-0.004295,-0.00078161
9337,-0.0036831,-0.0042553,-0.00070976
9338,-0.0037097,-0.0042143,-0.0006381
9339,-0.0037351,-0.0041719,-0.00056721
9417,-0.0034201,0.0015668,0.0023937
9472,-0.0036288,-0.0043032,-0.00065902
9473,-0.0036553,-0.0042627,-0.00058722
9474,-0.0036808,-0.0042205,-0.00051594
10516,-0.0028169,0.0017851,0.0028185
10517,-0.0028164,0.0018825,0.0028322
10570,-0.0031015,-0.0047082,-0.00037413
10639,-0.002632,0.00037053,0.0022995
10640,-0.0026184,0.00045873,0.0023017
10647,-0.0026672,0.0010211,0.0025532
10656,-0.0027383,0.0017561,0.0028498
10657,-0.0027386,0.0018545,0.0028642
10658,-0.0027389,0.0019501,0.0028812
10709,-0.0030086,-0.004787,-0.0004114
10710,-0.0030346,-0.0047507,-0.00033534
10711,-0.0030616,-0.0047133,-0.00025967
10712,-0.003089,-0.0046752,-0.00018508
10778,-0.0025744,0.00025401,0.0023282
10779,-0.0025562,0.00034373,0.0023196
10780,-0.0025427,0.00043288,0.0023203
10787,-0.0025828,0.0010066,0.0025621
10788,-0.0025981,0.0010592,0.0026341
10797,-0.0026599,0.001827,0.0028936
10798,-0.002661,0.0019233,0.0029114
10848,-0.0029167,-0.0048643,-0.00044823
10849,-0.0029413,-0.0048291,-0.00037275
10850,-0.0029667,-0.0047929,-0.00029666
10851,-0.0029926,-0.0047561,-0.00022079
10852,-0.0030185,-0.0047185,-0.00014568
10853,-0.0030436,-0.0046801,-7.125e-05
10927,-0.0024981,0.00098823,0.0025708
10928,-0.0025126,0.0010426,0.0026418
10989,-0.0028724,-0.0048704,-0.00033463
10990,-0.0028971,-0.0048346,-0.0002582
10991,-0.0029219,-0.0047986,-0.00018208
10992,-0.0029465,-0.004762,-0.00010653
11130,-0.0028021,-0.0049112,-0.00029766
11131,-0.0028257,-0.0048761,-0.00022065
11132,-0.0028495,-0.0048412,-0.00014395
11133,-0.002873,-0.004806,-6.7871e-05
11272,-0.0027527,-0.0049185,-0.00018426
11624,-0.0020813,0.0002728,0.0024056
11625,-0.0020692,0.00035993,0.0023885
11632,-0.0020695,0.00094359,0.0025933
11633,-0.0020844,0.0010092,0.0026579
11765,-0.0020027,0.00024592,0.0024142
11766,-0.0019899,0.00033437,0.0023944
11767,-0.0019783,0.00042086,0.0023835
11773,-0.0019827,0.00092669,0.002572
11774,-0.0019972,0.00099493,0.0026361
11908,-0.0019105,0.00030841,0.0024002
12068,-0.0019436,0.0017074,0.0030862
12069,-0.0019505,0.0018024,0.0031263
12211,-0.0018642,0.0016884,0.0030962
12212,-0.0018713,0.0017827,0.0031387
12213,-0.0018784,0.0018766,0.0031804
12354,-0.0017847,0.0016706,0.0031048
12355,-0.0017923,0.001764,0.0031499
12356,-0.0017997,0.0018571,0.0031941
12408,-0.0020988,-0.0052435,4.2507e-05
12409,-0.0021098,-0.0052053,0.00012551
12410,-0.0021199,-0.0051637,0.00020787
12550,-0.0019987,-0.0053174,-2.0393e-05
12551,-0.00201,-0.0052823,6.4303e-05
12552,-0.0020201,-0.005243,0.00014776
12553,-0.0020292,-0.0051997,0.00023007
12554,-0.0020381,-0.0051536,0.00031135
12693,-0.0019108,-0.00536,7.0133e-07
12694,-0.001921,-0.0053235,8.6056e-05
12695,-0.0019301,-0.0052828,0.00016994
12696,-0.0019383,-0.0052384,0.00025221
12697,-0.0019461,-0.0051911,0.00033308
12837,-0.0018236,-0.0054062,2.2546e-05
12838,-0.0018326,-0.0053682,0.00010842
12839,-0.0018405,-0.0053262,0.00019264
