"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4194,-0.0045121,-0.0023143,-0.0032196
4195,-0.0045496,-0.0022728,-0.0031684
4306,-0.0044669,-0.0024083,-0.0032189
4307,-0.0045056,-0.0023673,-0.0031642
4308,-0.0045431,-0.0023245,-0.003112
4419,-0.0044203,-0.0025013,-0.0032214
4420,-0.00446,-0.0024605,-0.0031639
4421,-0.0044993,-0.002419,-0.0031086
4422,-0.0045369,-0.0023754,-0.0030554
4423,-0.0045723,-0.0023293,-0.0030041
4535,-0.0044119,-0.0025526,-0.0031666
4536,-0.0044521,-0.0025112,-0.0031085
4537,-0.0044917,-0.002469,-0.0030523
4538,-0.0045292,-0.0024249,-0.0029979
4539,-0.0045644,-0.0023782,-0.0029451
4651,-0.004404,-0.0026038,-0.0031114
4652,-0.0044439,-0.0025617,-0.0030528
4653,-0.0044831,-0.0025187,-0.0029956
4654,-0.0045205,-0.002474,-0.0029398
4655,-0.0045556,-0.002427,-0.0028857
4769,-0.0044357,-0.0026129,-0.0029965
4770,-0.0044744,-0.002569,-0.0029383
4771,-0.0045114,-0.0025235,-0.0028815
6347,-0.0042442,-0.0033097,-0.0022606
6348,-0.0042849,-0.0032672,-0.002198
6349,-0.0043251,-0.003224,-0.0021367
6472,-0.0042302,-0.0033572,-0.0021997
6473,-0.0042708,-0.0033148,-0.0021366
6474,-0.004311,-0.0032718,-0.002075
6475,-0.0043511,-0.0032277,-0.0020145
6597,-0.0042158,-0.0034048,-0.0021398
6598,-0.0042564,-0.0033626,-0.0020764
6599,-0.0042965,-0.0033196,-0.0020145
6600,-0.0043364,-0.0032756,-0.0019537
6722,-0.0042008,-0.0034526,-0.0020808
6723,-0.0042414,-0.0034106,-0.0020169
6724,-0.0042814,-0.0033677,-0.0019546
6848,-0.0041847,-0.0035,-0.0020227
6849,-0.0042254,-0.0034586,-0.001958
6850,-0.0042652,-0.003416,-0.0018949
7305,-0.0043739,0.0014461,0.0012351
7432,-0.0043204,0.0013337,0.0012654
7433,-0.0043218,0.0014086,0.0013008
7434,-0.0043227,0.0014841,0.0013348
7435,-0.0043224,0.0015606,0.0013672
7561,-0.0042638,0.0012976,0.0013282
