"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4196,-0.004731,-0.002212,-0.0034388
4197,-0.0047628,-0.0021529,-0.0033926
4198,-0.0047941,-0.0020953,-0.0033462
4199,-0.0048246,-0.0020387,-0.0032993
4309,-0.00472,-0.0022808,-0.0033689
4310,-0.0047519,-0.0022223,-0.003322
4311,-0.004783,-0.0021648,-0.0032751
4312,-0.004813,-0.0021081,-0.0032278
4423,-0.0047096,-0.0023494,-0.0032986
4424,-0.0047415,-0.0022911,-0.0032506
4425,-0.0047723,-0.0022335,-0.0032029
4426,-0.0048017,-0.0021763,-0.0031553
5612,-0.0045684,-0.0029903,-0.0025781
5734,-0.0045122,-0.0031046,-0.0025615
5735,-0.0045491,-0.0030508,-0.0025034
5736,-0.0045847,-0.0029962,-0.0024461
5737,-0.0046192,-0.0029409,-0.0023899
5856,-0.00449,-0.003163,-0.0024868
5857,-0.0045282,-0.0031101,-0.0024284
5858,-0.0045648,-0.0030562,-0.0023704
5859,-0.0046003,-0.0030014,-0.0023132
7103,-0.0041104,-0.0038718,-0.0018857
7104,-0.0041557,-0.0038249,-0.0018258
7105,-0.0042009,-0.0037781,-0.0017647
7231,-0.004036,-0.0039705,-0.0018654
7232,-0.0040814,-0.0039247,-0.0018063
7233,-0.004127,-0.0038784,-0.0017468
7234,-0.0041726,-0.0038313,-0.0016858
7360,-0.0040507,-0.0039764,-0.0017277
7361,-0.0040966,-0.00393,-0.001668
7362,-0.0041428,-0.0038831,-0.0016069
7695,-0.0043273,0.0014777,0.0014582
7823,-0.0042649,0.0013652,0.0014698
7824,-0.0042728,0.0014365,0.0015151
7825,-0.0042795,0.0015092,0.0015594
7954,-0.0042057,0.0013251,0.0015229
7955,-0.0042152,0.001396,0.0015694
7956,-0.0042235,0.0014685,0.001615
7957,-0.0042306,0.0015425,0.0016597
8085,-0.0041416,0.0012869,0.0015718
8086,-0.0041539,0.0013568,0.0016205
8087,-0.0041641,0.0014289,0.0016676
8088,-0.0041724,0.0015029,0.0017133
8219,-0.0041112,0.0014644,0.0017641
8270,-0.0037367,-0.0043471,-0.001236
8400,-0.0035992,-0.0044662,-0.0012961
