"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4200,-0.0045049,-0.0021638,-0.0032849
4201,-0.0045515,-0.002101,-0.0032448
4202,-0.0045952,-0.0020382,-0.0032061
4313,-0.0044842,-0.0022361,-0.0032055
4314,-0.0045299,-0.0021721,-0.0031638
4315,-0.0045737,-0.0021074,-0.0031234
4316,-0.0046151,-0.0020435,-0.0030853
4427,-0.0044672,-0.0023048,-0.0031253
4428,-0.004511,-0.0022404,-0.0030831
4429,-0.0045541,-0.0021749,-0.0030412
4430,-0.0045954,-0.0021097,-0.0030015
4544,-0.004494,-0.0023065,-0.0030027
4545,-0.004536,-0.0022409,-0.0029598
5733,-0.0040499,-0.0033072,-0.0025389
5734,-0.0040934,-0.0032537,-0.0024892
5735,-0.0041366,-0.0031999,-0.0024397
5855,-0.0040316,-0.0033605,-0.0024618
5856,-0.004076,-0.0033081,-0.0024118
5857,-0.0041199,-0.0032547,-0.0023618
5858,-0.0041632,-0.0032001,-0.0023117
5977,-0.0039656,-0.003463,-0.0024354
5978,-0.0040128,-0.0034127,-0.0023845
5979,-0.0040587,-0.0033616,-0.0023344
5980,-0.0041037,-0.003309,-0.0022839
5981,-0.0041477,-0.0032547,-0.0022329
6101,-0.0039938,-0.0034643,-0.002307
6102,-0.0040412,-0.0034144,-0.0022562
6103,-0.0040872,-0.0033629,-0.0022049
7102,-0.0036707,-0.0040011,-0.0018498
7230,-0.0035983,-0.004085,-0.0018281
7231,-0.0036493,-0.0040449,-0.0017701
7232,-0.0037002,-0.0040033,-0.0017118
7233,-0.0037523,-0.0039595,-0.0016534
7305,-0.0044295,0.0013199,0.0011717
7306,-0.0044412,0.0013877,0.0012182
7307,-0.0044517,0.0014561,0.0012637
7357,-0.0035248,-0.0041639,-0.0018093
7358,-0.0035771,-0.004126,-0.00175
7359,-0.0036282,-0.0040865,-0.0016909
7360,-0.0036795,-0.0040457,-0.0016318
7361,-0.003732,-0.0040028,-0.0015732
7433,-0.0043777,0.0012869,0.0012296
7434,-0.0043918,0.0013534,0.0012777
7435,-0.0044048,0.0014208,0.0013251
7436,-0.0044159,0.001489,0.0013709
7486,-0.0035035,-0.0042014,-0.0017338
7487,-0.0035557,-0.0041645,-0.0016729
7488,-0.0036072,-0.004126,-0.0016125
7489,-0.003659,-0.0040862,-0.0015528
7562,-0.0043226,0.0012553,0.001285
7563,-0.0043387,0.0013202,0.0013351
7564,-0.0043537,0.0013863,0.001384
7565,-0.0043678,0.0014534,0.0014318
7566,-0.0043791,0.001522,0.0014778
7615,-0.0034815,-0.0042364,-0.00166
7616,-0.0035342,-0.0042009,-0.0015973
7617,-0.0035862,-0.0041638,-0.0015354
7692,-0.0042812,0.0012885,0.0013892
7693,-0.004299,0.0013526,0.0014403
7694,-0.0043149,0.0014185,0.0014897
8751,-0.0039062,0.0017364,0.0022655
8752,-0.0039121,0.0018122,0.0023086
8753,-0.0039154,0.0018894,0.0023481
8795,-0.0031741,-0.0045908,-0.0011177
8796,-0.0032282,-0.0045586,-0.0010511
8797,-0.0032817,-0.0045249,-0.00098456
8798,-0.0033345,-0.0044916,-0.00091687
8799,-0.0033865,-0.0044582,-0.00084741
8883,-0.0038346,0.0017105,0.0023061
8884,-0.0038414,0.0017856,0.0023509
8885,-0.0038461,0.0018625,0.0023925
8886,-0.0038479,0.0019407,0.00243
8928,-0.0031404,-0.0046247,-0.0010637
8929,-0.0031913,-0.0045933,-0.00099627
8930,-0.0032427,-0.0045594,-0.00092756
8931,-0.0032949,-0.0045255,-0.00085786
8932,-0.0033464,-0.0044914,-0.00078759
9016,-0.0037602,0.0016864,0.0023435
9017,-0.0037683,0.0017609,0.0023901
9018,-0.0037737,0.0018374,0.0024331
9019,-0.0037768,0.0019151,0.0024722
9062,-0.0031079,-0.0046561,-0.001005
9063,-0.0031559,-0.0046257,-0.00093846
9064,-0.0032053,-0.0045924,-0.00086859
9065,-0.0032556,-0.0045582,-0.0007982
9066,-0.0033053,-0.0045233,-0.00072781
9197,-0.0031214,-0.0046563,-0.00087823
10105,-0.0031513,0.0019914,0.0028232
10106,-0.0031547,0.0020696,0.0028605
10107,-0.0031563,0.0021487,0.0028939
10243,-0.0030664,0.0019773,0.0028399
10244,-0.0030708,0.0020547,0.0028797
10245,-0.0030736,0.0021335,0.002915
10246,-0.0030748,0.0022134,0.0029465
10286,-0.0026667,-0.0049234,-0.00055855
10287,-0.0027049,-0.004895,-0.00048847
10289,-0.0027819,-0.0048361,-0.00035183
10290,-0.0028207,-0.0048041,-0.00028508
10370,-0.0028178,0.001383,0.0021026
10371,-0.0028412,0.0014115,0.0021932
10372,-0.002863,0.0014411,0.0022829
10373,-0.0028827,0.0014747,0.0023692
10374,-0.0029012,0.001515,0.0024508
10381,-0.0029806,0.0019643,0.0028539
10382,-0.0029857,0.0020415,0.0028953
10383,-0.0029896,0.0021198,0.0029331
10384,-0.0029922,0.0021991,0.0029669
10423,-0.0025768,-0.0049743,-0.00057581
10424,-0.0026126,-0.0049473,-0.00050689
10425,-0.0026485,-0.0049188,-0.00043689
10426,-0.0026847,-0.0048896,-0.00036738
10427,-0.0027219,-0.0048594,-0.00029925
10428,-0.0027596,-0.0048271,-0.00023195
10502,-0.0027161,0.00093354,0.0019736
10503,-0.0027025,0.001026,0.0019683
10508,-0.0027332,0.0013953,0.0020928
10509,-0.002754,0.0014247,0.0021814
10510,-0.0027745,0.0014515,0.0022745
10511,-0.0027934,0.0014807,0.0023645
10512,-0.0028115,0.0015162,0.0024495
10562,-0.0024889,-0.0050242,-0.00058937
10563,-0.0025221,-0.0049994,-0.00052216
10564,-0.0025561,-0.0049719,-0.00045441
10565,-0.0025904,-0.0049426,-0.00038579
10566,-0.0026251,-0.0049125,-0.00031728
10642,-0.0026389,0.00091818,0.0019963
10643,-0.0026247,0.0010108,0.001986
10649,-0.0026669,0.0014373,0.0021707
10650,-0.0026856,0.0014634,0.0022637
10651,-0.0027036,0.0014896,0.0023567
10652,-0.0027211,0.0015201,0.0024447
10702,-0.0024309,-0.0050517,-0.00053904
10703,-0.0024638,-0.0050254,-0.0004719
10704,-0.0024966,-0.0049967,-0.00040392
10705,-0.0025298,-0.0049659,-0.00033658
10844,-0.0024345,-0.0050203,-0.00035702
10845,-0.0024666,-0.0049879,-0.00029015
11493,-0.0021256,0.0014966,0.0021839
11494,-0.0021416,0.0015319,0.0022703
11495,-0.0021615,0.0015621,0.0023602
11496,-0.0021831,0.0015929,0.0024479
11505,-0.0023136,0.0021222,0.0030501
11628,-0.0020443,0.0010064,0.0020398
11633,-0.0020222,0.0014377,0.0021039
11634,-0.0020333,0.001489,0.002174
11635,-0.0020497,0.0015289,0.0022582
11636,-0.0020698,0.0015637,0.0023456
11637,-0.0020921,0.001598,0.0024314
11638,-0.0021144,0.0016369,0.0025128
11646,-0.0022285,0.0021177,0.0030527
11647,-0.0022377,0.0021901,0.0031052
