"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4085,-0.0044162,-0.0022175,-0.0030681
4086,-0.0044508,-0.0021699,-0.0030233
4196,-0.0043761,-0.0023084,-0.0030551
4197,-0.0044108,-0.0022616,-0.0030069
4198,-0.0044454,-0.0022126,-0.0029614
4309,-0.0043714,-0.002356,-0.0029974
4310,-0.0044059,-0.0023075,-0.0029483
4311,-0.0044403,-0.0022572,-0.0029018
4312,-0.0044748,-0.0022046,-0.0028583
4424,-0.0044009,-0.002354,-0.0028908
4425,-0.0044351,-0.0023029,-0.0028432
5853,-0.0041053,-0.0031631,-0.0024602
5974,-0.0040058,-0.0032949,-0.0025173
5975,-0.0040488,-0.003253,-0.002457
5976,-0.0040913,-0.0032107,-0.0023979
5977,-0.004132,-0.0031672,-0.0023394
6097,-0.0039921,-0.0033424,-0.002456
6098,-0.004035,-0.0033006,-0.0023953
6099,-0.004077,-0.0032582,-0.0023356
6100,-0.0041178,-0.0032152,-0.0022768
6222,-0.0040219,-0.0033483,-0.0023343
6223,-0.0040633,-0.003306,-0.0022741
7562,-0.0043948,0.001385,0.0013952
7563,-0.0043977,0.0014607,0.001431
7564,-0.0043999,0.001537,0.0014657
7691,-0.0043414,0.0013504,0.0014581
7692,-0.0043457,0.0014253,0.001495
7693,-0.004349,0.0015009,0.0015306
7821,-0.0042902,0.0013903,0.0015566
7822,-0.0042949,0.0014652,0.0015933
7875,-0.0037295,-0.0039939,-0.0017017
8005,-0.0036634,-0.0040669,-0.0017182
8006,-0.0037077,-0.004034,-0.0016486
8007,-0.0037509,-0.0040002,-0.001577
8136,-0.0036411,-0.0041058,-0.0016653
8137,-0.0036851,-0.0040734,-0.0015962
8138,-0.0037278,-0.0040399,-0.001525
8268,-0.0036613,-0.004113,-0.0015439
8269,-0.0037028,-0.0040793,-0.0014736
8749,-0.0038868,0.0017878,0.0022215
8750,-0.0038905,0.00187,0.0022563
8881,-0.0038156,0.0017603,0.0022672
8882,-0.0038201,0.001842,0.0023029
8883,-0.0038225,0.001925,0.0023359
9014,-0.0037417,0.0017343,0.00231
9015,-0.0037474,0.0018154,0.0023471
9016,-0.0037508,0.0018982,0.0023811
9150,-0.0036765,0.0018732,0.0024231
9739,-0.0032826,-0.0045442,-0.0010006
9740,-0.0033153,-0.0045102,-0.00092808
