"vtkOriginalPointIds","Points:0","Points:1","Points:2"
3970,-0.0050759,-0.0022349,-0.0033116
3971,-0.0051105,-0.0021677,-0.003264
4082,-0.0050601,-0.0023092,-0.0032482
4083,-0.0050943,-0.0022438,-0.0032019
4084,-0.0051261,-0.0021797,-0.0031556
4194,-0.005041,-0.0023812,-0.003182
4195,-0.0050746,-0.0023181,-0.0031364
4196,-0.0051069,-0.0022568,-0.0030914
4307,-0.0050214,-0.002453,-0.0031146
4308,-0.0050549,-0.0023922,-0.0030687
4309,-0.0050883,-0.0023336,-0.0030239
5606,-0.0046935,-0.003389,-0.0026031
5607,-0.0047369,-0.0033449,-0.0025455
5608,-0.0047792,-0.0032997,-0.0024881
5729,-0.0046744,-0.0034492,-0.0025365
5730,-0.0047181,-0.0034056,-0.0024777
5731,-0.0047607,-0.0033609,-0.0024194
5732,-0.004803,-0.0033157,-0.0023622
5852,-0.0046986,-0.0034658,-0.0024107
5853,-0.0047419,-0.0034217,-0.0023514
6971,-0.0043249,-0.0041021,-0.0019813
6972,-0.0043788,-0.0040653,-0.0019159
6973,-0.0044306,-0.0040268,-0.0018504
7099,-0.0042951,-0.0041564,-0.0019118
7100,-0.0043478,-0.00412,-0.0018458
7101,-0.0043992,-0.0040821,-0.0017796
7228,-0.0042619,-0.004209,-0.0018438
7229,-0.0043142,-0.004173,-0.0017772
7230,-0.0043658,-0.0041356,-0.0017104
7697,-0.0042851,0.0015652,0.0015505
7824,-0.004228,0.0013863,0.0015342
7825,-0.0042261,0.0014589,0.0015681
7826,-0.004223,0.0015326,0.0015997
7827,-0.0042172,0.0016078,0.0016282
7828,-0.00421,0.0016838,0.0016548
7956,-0.0041595,0.001427,0.0016126
7957,-0.0041579,0.0015007,0.0016461
7958,-0.0041544,0.0015759,0.0016763
7959,-0.0041481,0.0016523,0.0017036
7960,-0.0041407,0.0017291,0.0017291
8088,-0.00409,0.00147,0.0016887
8089,-0.0040882,0.0015451,0.0017209
8090,-0.0040841,0.0016216,0.0017498
8091,-0.0040777,0.0016988,0.001776
8220,-0.0040196,0.001516,0.0017618
8221,-0.0040171,0.0015925,0.0017925
8222,-0.0040129,0.0016698,0.0018205
8530,-0.003836,-0.0046868,-0.0011933
8662,-0.003732,-0.0047663,-0.0012194
8663,-0.0037837,-0.0047305,-0.0011398
8794,-0.0036791,-0.0048095,-0.0011735
8795,-0.00373,-0.004773,-0.0010886
9020,-0.0035478,0.0019931,0.0021765
9153,-0.0034837,0.0018943,0.0021863
9154,-0.0034754,0.0019718,0.0022073
9155,-0.0034656,0.0020495,0.0022256
9156,-0.003455,0.0021277,0.0022421
9287,-0.0034083,0.0018744,0.0022128
9288,-0.0034011,0.0019514,0.002235
9289,-0.0033928,0.0020286,0.0022549
9290,-0.0033829,0.0021066,0.0022718
9422,-0.0033321,0.0018551,0.0022371
9423,-0.003325,0.001932,0.0022595
9424,-0.0033178,0.0020088,0.0022806
9425,-0.0033094,0.0020862,0.0022992
10147,-0.0029936,-0.0051618,-0.00064702
10148,-0.0030325,-0.0051189,-0.00057325
10234,-0.0028449,0.0013393,0.0020718
10284,-0.0028782,-0.0052188,-0.00067388
10285,-0.002916,-0.0051793,-0.00059816
10286,-0.0029532,-0.0051369,-0.00052402
10371,-0.0027589,0.0012665,0.0020191
10372,-0.0027631,0.0013312,0.0020701
10373,-0.0027674,0.0013949,0.0021208
10382,-0.0027679,0.0020409,0.0024518
10383,-0.0027641,0.0021171,0.0024765
10384,-0.0027598,0.0021937,0.0025
10385,-0.0027545,0.0022715,0.0025208
10423,-0.0028372,-0.0051914,-0.00054704
10502,-0.0026914,0.00077739,0.0017593
10503,-0.0026706,0.0008525,0.0017549
10504,-0.0026584,0.00092216,0.0017732
10509,-0.0026767,0.0012599,0.0020148
10510,-0.0026815,0.0013236,0.0020674
10511,-0.0026861,0.0013862,0.0021191
10512,-0.0026914,0.0014495,0.0021717
10521,-0.0026868,0.0021019,0.0024881
10522,-0.0026831,0.0021784,0.002513
10523,-0.0026788,0.0022555,0.0025361
10642,-0.0026137,0.00076344,0.0017781
10643,-0.0025924,0.00084061,0.0017663
10644,-0.002578,0.00091336,0.0017748
10650,-0.0025996,0.0013152,0.0020645
10661,-0.00261,0.0020869,0.0024989
10662,-0.0026067,0.0021634,0.0025247
10663,-0.002603,0.0022403,0.0025496
10783,-0.0025144,0.000829,0.001776
10802,-0.0025304,0.0021488,0.0025356
11636,-0.0020281,0.0013566,0.0021134
11637,-0.0020341,0.0014189,0.0021763
11638,-0.0020415,0.0014833,0.0022376
11769,-0.001932,0.00078778,0.0017689
11770,-0.0019229,0.00087399,0.0017418
11771,-0.0019206,0.00095678,0.0017471
11777,-0.0019484,0.0013431,0.0021035
11778,-0.0019543,0.0014066,0.0021665
11779,-0.0019614,0.0014712,0.002229
11828,-0.001954,-0.0053879,-0.00026828
11829,-0.0019723,-0.0053323,-0.00019307
11911,-0.0018507,0.00076813,0.0017714
11912,-0.0018393,0.00085421,0.0017355
11913,-0.001834,0.00093828,0.0017336
11919,-0.0018688,0.0013284,0.0020958
11920,-0.0018752,0.0013938,0.0021591
11921,-0.0018823,0.0014602,0.0022214
11922,-0.00189,0.0015272,0.0022815
11931,-0.0019161,0.0021982,0.0026659
11932,-0.0019152,0.0022751,0.0026968
11970,-0.0018475,-0.0054398,-0.00028252
11971,-0.0018715,-0.0053914,-0.00022047
11972,-0.0018898,-0.0053405,-0.00015117
11973,-0.0019092,-0.0052897,-8.2661e-05
12054,-0.0017694,0.00074566,0.0017829
12055,-0.0017561,0.00083084,0.0017425
12056,-0.0017478,0.00091581,0.0017327
12063,-0.0017963,0.0013813,0.0021528
12064,-0.001804,0.0014498,0.0022152
12074,-0.0018406,0.0021859,0.0026735
12075,-0.0018397,0.0022629,0.0027051
12076,-0.0018385,0.0023401,0.0027347
12113,-0.0017597,-0.0054367,-0.00021802
12114,-0.0017893,-0.0053932,-0.00016757
12115,-0.0018089,-0.005347,-0.00010487
12116,-0.001828,-0.0052999,-3.9825e-05
12199,-0.001664,0.00088918,0.001744
12217,-0.0017655,0.0021735,0.0026805
12218,-0.0017647,0.0022506,0.0027129
12219,-0.0017637,0.002328,0.0027433
12360,-0.0016906,0.0021613,0.0026863
12361,-0.00169,0.0022383,0.0027196
12362,-0.0016893,0.0023158,0.0027511
13506,-0.0010965,0.0019158,0.0026502
13507,-0.0010975,0.001991,0.0026851
13649,-0.0010216,0.001827,0.0026214
13650,-0.0010229,0.0019022,0.0026562
13651,-0.0010236,0.0019781,0.0026891
13652,-0.0010241,0.0020539,0.0027212
13731,-0.0012416,-0.0028028,0.0014908
13793,-0.00094827,0.0018117,0.0026307
13794,-0.0009493,0.0018877,0.0026629
13795,-0.00094974,0.0019643,0.0026937
13796,-0.00095006,0.0020405,0.0027241
13874,-0.0011525,-0.0029451,0.0014091
13875,-0.0011545,-0.002879,0.001453
13876,-0.0011536,-0.0028194,0.0015112
13877,-0.0011498,-0.0027656,0.001583
13939,-0.00087557,0.0018721,0.0026698
13940,-0.00087603,0.0019489,0.0026992
13941,-0.00087625,0.0020255,0.0027281
14020,-0.0010577,-0.002897,0.0014806
14021,-0.0010629,-0.002836,0.0015289
14084,-0.00080178,0.0018555,0.0026767
14085,-0.0008024,0.0019321,0.0027051
14086,-0.0008027,0.002009,0.002733
14159,-0.00094544,-0.0034678,0.0013783
14160,-0.00095322,-0.0033904,0.0014058
14161,-0.00095959,-0.0033065,0.0014241
14306,-0.00086773,-0.0034185,0.0014409
14307,-0.00087317,-0.0033346,0.0014603
14320,-0.00089895,-0.0025121,0.0021149
14465,-0.00080504,-0.0026102,0.0020428
14466,-0.00081393,-0.0025481,0.0021326
14602,-0.00069191,-0.0031309,0.0015797
14603,-0.0006851,-0.00304,0.0016005
14612,-0.00072721,-0.0025853,0.0021421
14613,-0.00073403,-0.0025181,0.0022167
14748,-0.00060772,-0.0031626,0.0016095
14749,-0.00059987,-0.0030655,0.0016271
14750,-0.00059197,-0.002977,0.0016398
14755,-0.00059447,-0.0027347,0.0017748
14756,-0.00060404,-0.0027027,0.001885
14890,-0.00051139,-0.0035615,0.0015233
14891,-0.00051873,-0.0034872,0.0015592
14892,-0.00052282,-0.0034032,0.0015862
14895,-0.00051356,-0.0031014,0.0016459
14896,-0.0005049,-0.0030058,0.0016582
14901,-0.00049716,-0.0027481,0.0017698
14902,-0.00050548,-0.0027169,0.0018774
15038,-0.00042869,-0.0035241,0.0015752
15039,-0.00043221,-0.0034442,0.0016041
15049,-0.00040846,-0.0027332,0.0018746
15232,-0.0002769,-1.2581e-05,0.0029878
15233,-0.00026983,6.0962e-05,0.0029381
15245,-0.00021424,0.00096672,0.0025594
15246,-0.00020851,0.0010406,0.0025621
15247,-0.0002036,0.0011149,0.0025711
15379,-0.00019589,-0.00011267,0.0030868
15380,-0.0001899,-3.8897e-05,0.0030368
15381,-0.00018439,3.3682e-05,0.0029858
15382,-0.0001794,0.00010576,0.0029346
15383,-0.00017482,0.00017793,0.0028843
15393,-0.00014316,0.00092413,0.002574
15394,-0.00013784,0.00099485,0.0025715
15395,-0.00013182,0.0010686,0.0025763
15396,-0.00012838,0.0011465,0.002587
15397,-0.00012829,0.0012274,0.0026025
15493,-0.00012942,-0.0027725,0.001907
15527,-0.00010107,-0.00014236,0.003126
15528,-9.7966e-05,-6.8254e-05,0.0030762
15529,-9.495e-05,4.2593e-06,0.0030252
15530,-9.207e-05,7.586e-05,0.0029735
15531,-8.944e-05,0.00014747,0.0029222
15532,-8.6947e-05,0.00021943,0.0028723
15541,-6.9466e-05,0.00088272,0.0025883
15542,-6.5631e-05,0.00094775,0.0025798
15543,-6.0406e-05,0.0010163,0.002579
15544,-5.6886e-05,0.0010942,0.0025858
15545,-5.6482e-05,0.0011783,0.0025989
15546,-5.7617e-05,0.0012641,0.0026164
15640,-3.1421e-05,-0.0027982,0.0017683
15641,-3.4889e-05,-0.0027867,0.0018632
15642,-3.7848e-05,-0.0027655,0.0019702
15676,-1.5038e-06,-0.0001018,0.0031046
15677,-1.5834e-06,-2.8952e-05,0.0030538
15678,-1.4676e-06,4.2699e-05,0.0030022
15679,-1.2001e-06,0.00011421,0.0029507
15680,-7.5838e-07,0.00018601,0.0029001
15689,6.7822e-06,0.00084882,0.0025972
15690,9.9654e-06,0.00091314,0.0025852
15691,1.3068e-05,0.00097535,0.0025806
15692,1.427e-05,0.0010466,0.0025832
15693,1.3874e-05,0.0011288,0.0025928
15694,1.2665e-05,0.0012163,0.0026082
15695,1.135e-05,0.0013056,0.0026275
15788,6.0625e-05,-0.0027854,0.0018124
15789,5.7491e-05,-0.0027694,0.0019134
15790,5.8172e-05,-0.002744,0.0020211
15824,9.4895e-05,-6.9883e-05,0.0030726
15825,9.192e-05,2.5128e-06,0.0030215
15826,8.9484e-05,7.4382e-05,0.0029703
15827,8.7602e-05,0.00014656,0.00292
15836,8.3236e-05,0.00081512,0.0025993
15837,8.6066e-05,0.00088457,0.0025851
15838,8.8177e-05,0.00095012,0.0025773
15839,8.7143e-05,0.0010157,0.0025771
15840,8.433e-05,0.0010905,0.0025841
15841,8.2252e-05,0.0011747,0.0025978
15842,8.108e-05,0.0012623,0.002616
15930,0.00013123,-0.0031089,0.0016842
15986,0.00016015,0.00099539,0.0025678
15987,0.00015621,0.0010665,0.0025735
15988,0.0001527,0.0011428,0.0025852
15989,0.00015135,0.0012244,0.0026018
16076,0.00022084,-0.0031791,0.0016764
16077,0.00022635,-0.0030621,0.0016798
16220,0.00029536,-0.0034505,0.0016226
16221,0.00030324,-0.0033576,0.0016451
16223,0.00031489,-0.0031297,0.0016668
16224,0.00032095,-0.0030168,0.0016727
16365,0.00038318,-0.0034911,0.0015718
16366,0.00038982,-0.0034077,0.0016041
16375,0.00044477,-0.0027313,0.001774
16376,0.0004483,-0.0027114,0.0018843
16377,0.00046049,-0.0026862,0.0020087
16522,0.00054762,-0.0027032,0.0018937
16809,0.00071456,-0.0028523,0.0015796
16810,0.00073107,-0.0028053,0.0015893
16811,0.00073799,-0.0027691,0.0016296
16815,0.00074978,-0.0026247,0.0020647
