"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4302,-0.0051362,-0.002382,-0.0036398
4303,-0.0051488,-0.0023346,-0.0035835
4304,-0.0051615,-0.0022845,-0.0035285
4305,-0.0051755,-0.0022307,-0.0034755
4306,-0.0051912,-0.0021739,-0.0034241
4307,-0.0052095,-0.0021164,-0.0033735
4308,-0.0052298,-0.0020602,-0.0033229
4416,-0.0051157,-0.0024508,-0.0035872
4417,-0.0051294,-0.0024044,-0.0035293
4418,-0.0051436,-0.0023541,-0.003472
4419,-0.0051589,-0.0023,-0.003416
4420,-0.0051753,-0.0022434,-0.0033618
4421,-0.0051938,-0.0021868,-0.0033091
4422,-0.0052144,-0.0021322,-0.0032574
4423,-0.005235,-0.0020794,-0.0032062
4424,-0.0052529,-0.0020281,-0.0031545
4425,-0.0052675,-0.0019774,-0.0031025
4530,-0.0050563,-0.0026003,-0.0036536
4531,-0.0050771,-0.0025619,-0.0035929
4532,-0.0050947,-0.0025205,-0.0035337
4533,-0.0051102,-0.0024744,-0.0034747
4534,-0.0051261,-0.0024238,-0.0034156
4535,-0.0051426,-0.0023698,-0.0033571
4536,-0.0051596,-0.0023144,-0.0032999
4537,-0.0051779,-0.0022591,-0.0032447
4538,-0.0051983,-0.0022056,-0.0031916
4539,-0.0052195,-0.0021538,-0.0031395
4540,-0.0052391,-0.0021027,-0.0030871
4541,-0.0052554,-0.0020516,-0.0030339
4542,-0.0052684,-0.0020006,-0.0029812
4646,-0.0050291,-0.0026669,-0.0035996
4647,-0.0050527,-0.0026292,-0.0035381
4648,-0.0050723,-0.0025878,-0.0034778
4649,-0.0050896,-0.0025414,-0.003418
4650,-0.0051063,-0.0024909,-0.0033577
4651,-0.0051238,-0.002438,-0.0032975
4652,-0.0051419,-0.0023843,-0.003238
4653,-0.0051607,-0.0023307,-0.0031806
4654,-0.005181,-0.0022782,-0.0031256
4655,-0.0052024,-0.0022268,-0.0030722
4656,-0.005223,-0.0021759,-0.0030185
4657,-0.005241,-0.0021246,-0.0029643
4658,-0.0052561,-0.0020729,-0.0029107
4659,-0.0052687,-0.0020211,-0.0028591
4660,-0.0052787,-0.0019699,-0.0028096
4763,-0.0050003,-0.0027313,-0.0035434
4764,-0.0050261,-0.0026932,-0.0034811
