"vtkOriginalPointIds","Points:0","Points:1","Points:2"
5001,-0.0047147,-0.0029477,-0.003205
5002,-0.0047429,-0.0028954,-0.0031404
5003,-0.0047711,-0.002843,-0.0030766
5004,-0.0047995,-0.0027897,-0.0030136
5005,-0.0048281,-0.0027351,-0.0029511
5006,-0.0048558,-0.0026796,-0.0028898
5007,-0.0048825,-0.0026237,-0.0028304
5118,-0.0045981,-0.0031587,-0.0033423
5119,-0.0046316,-0.0031115,-0.0032747
5120,-0.0046629,-0.0030622,-0.0032077
5121,-0.0046923,-0.0030115,-0.0031416
5122,-0.0047208,-0.0029601,-0.0030769
5123,-0.0047497,-0.0029084,-0.0030132
5124,-0.004779,-0.002856,-0.00295
5125,-0.0048083,-0.0028023,-0.0028871
5126,-0.0048367,-0.002748,-0.0028252
5127,-0.0048642,-0.0026931,-0.0027651
5128,-0.0048909,-0.0026376,-0.0027068
5238,-0.004541,-0.0032666,-0.0033479
5239,-0.0045757,-0.0032215,-0.0032789
5240,-0.0046093,-0.0031747,-0.0032106
5241,-0.0046411,-0.0031263,-0.0031434
5242,-0.004671,-0.0030764,-0.0030773
5243,-0.0047002,-0.0030257,-0.0030126
5244,-0.0047296,-0.0029744,-0.0029488
5245,-0.0047592,-0.0029225,-0.0028852
5246,-0.0047888,-0.0028698,-0.0028218
5247,-0.0048177,-0.0028163,-0.0027594
5248,-0.0048457,-0.0027621,-0.0026987
5249,-0.004873,-0.0027072,-0.0026396
5357,-0.0044823,-0.0033731,-0.0033545
5358,-0.0045178,-0.0033296,-0.0032844
5359,-0.004553,-0.0032847,-0.0032143
5360,-0.004587,-0.0032384,-0.0031453
5361,-0.0046194,-0.0031908,-0.003078
5362,-0.0046505,-0.0031419,-0.0030122
5363,-0.0046806,-0.0030917,-0.0029474
5364,-0.0047102,-0.0030408,-0.0028832
5365,-0.00474,-0.0029894,-0.0028192
5366,-0.00477,-0.0029373,-0.0027554
5367,-0.0047994,-0.0028846,-0.0026925
5368,-0.0048277,-0.0028309,-0.0026312
5478,-0.0044576,-0.0034361,-0.0032905
5479,-0.0044932,-0.0033921,-0.0032196
5480,-0.004529,-0.0033474,-0.003149
5481,-0.0045642,-0.0033023,-0.0030796
5482,-0.0045976,-0.0032554,-0.0030123
5483,-0.0046295,-0.0032069,-0.0029465
5484,-0.00466,-0.003157,-0.0028813
5485,-0.0046898,-0.0031064,-0.0028166
5486,-0.0047197,-0.0030554,-0.002752
5487,-0.0047502,-0.0030041,-0.0026879
5488,-0.0047802,-0.0029521,-0.0026248
5489,-0.004809,-0.0028991,-0.002563
5599,-0.0043964,-0.0035414,-0.0032968
5600,-0.0044314,-0.0034982,-0.0032245
5601,-0.0044667,-0.0034538,-0.0031531
5602,-0.0045033,-0.0034098,-0.0030829
5603,-0.0045403,-0.0033656,-0.003014
5604,-0.0045752,-0.0033195,-0.0029466
5605,-0.0046073,-0.003271,-0.0028804
5606,-0.0046377,-0.0032212,-0.0028148
5607,-0.0046673,-0.0031705,-0.0027491
5608,-0.0046972,-0.0031197,-0.0026838
5609,-0.0047279,-0.003069,-0.0026196
5610,-0.0047586,-0.0030178,-0.0025564
5722,-0.0043688,-0.0036031,-0.0032302
5723,-0.0044038,-0.0035597,-0.0031575
5724,-0.0044389,-0.0035153,-0.003086
5725,-0.0044762,-0.0034718,-0.0030163
5726,-0.0045149,-0.0034282,-0.0029482
5727,-0.0045515,-0.0033828,-0.0028809
5728,-0.0045838,-0.0033341,-0.0028141
5729,-0.0046141,-0.0032842,-0.0027477
5730,-0.0046438,-0.0032337,-0.0026814
5731,-0.0046737,-0.003183,-0.0026154
5732,-0.0047041,-0.0031324,-0.0025506
5843,-0.0043013,-0.003708,-0.0032441
5844,-0.004339,-0.0036658,-0.0031652
5845,-0.004375,-0.0036213,-0.0030906
5846,-0.0044109,-0.0035768,-0.0030186
5847,-0.004449,-0.0035335,-0.0029491
5848,-0.0044885,-0.0034902,-0.0028815
5849,-0.0045254,-0.0034444,-0.0028144
5850,-0.0045584,-0.0033961,-0.0027473
5851,-0.0045893,-0.0033467,-0.0026803
5852,-0.0046199,-0.0032966,-0.0026133
5853,-0.0046503,-0.0032461,-0.0025468
5966,-0.0042739,-0.0037661,-0.0031734
5967,-0.0043107,-0.0037255,-0.0030968
5968,-0.0043469,-0.0036824,-0.0030225
5969,-0.0043839,-0.0036383,-0.0029509
5970,-0.0044223,-0.0035948,-0.0028815
5971,-0.0044609,-0.0035508,-0.0028134
5972,-0.0044975,-0.003505,-0.0027461
5973,-0.0045313,-0.0034572,-0.0026791
5974,-0.0045636,-0.0034086,-0.002612
5975,-0.0045956,-0.0033591,-0.0025447
6089,-0.0042452,-0.0038256,-0.0030914
6090,-0.0042823,-0.0037852,-0.003023
