"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4306,-0.0046598,-0.0023674,-0.0032544
4419,-0.004613,-0.0024805,-0.0032544
4420,-0.0046499,-0.002431,-0.0031961
4421,-0.0046861,-0.0023807,-0.0031396
4422,-0.0047222,-0.0023301,-0.0030845
4536,-0.0046396,-0.0024938,-0.0031376
4537,-0.0046766,-0.0024437,-0.0030802
4538,-0.0047129,-0.0023934,-0.0030241
4652,-0.0046293,-0.0025556,-0.0030785
4653,-0.0046667,-0.0025063,-0.0030202
4654,-0.0047033,-0.002456,-0.0029632
5730,-0.0044304,-0.0031781,-0.0026612
5731,-0.00447,-0.0031352,-0.0025977
5732,-0.0045088,-0.0030906,-0.0025342
5851,-0.0043714,-0.0032757,-0.002661
5852,-0.0044118,-0.0032344,-0.002597
5853,-0.0044516,-0.003192,-0.0025333
5854,-0.0044909,-0.003148,-0.0024697
5974,-0.0043518,-0.003331,-0.0025966
5975,-0.0043922,-0.0032901,-0.002532
5976,-0.0044324,-0.0032482,-0.0024681
5977,-0.0044726,-0.0032049,-0.0024046
6097,-0.0043318,-0.0033861,-0.0025323
6098,-0.0043723,-0.0033455,-0.002467
6099,-0.0044132,-0.0033041,-0.0024028
6100,-0.0044541,-0.0032615,-0.0023392
7230,-0.0041309,-0.00387,-0.0019789
7231,-0.0041744,-0.0038339,-0.0019049
7357,-0.0040594,-0.0039588,-0.0019921
7358,-0.0041032,-0.0039238,-0.0019189
7359,-0.0041465,-0.003888,-0.0018439
7360,-0.0041895,-0.0038512,-0.0017682
7486,-0.0040301,-0.004013,-0.0019322
7487,-0.0040738,-0.0039785,-0.0018576
7488,-0.004117,-0.0039428,-0.0017819
7489,-0.0041603,-0.003906,-0.0017057
7615,-0.0039986,-0.0040674,-0.0018721
7616,-0.0040425,-0.0040336,-0.0017962
7617,-0.0040861,-0.003998,-0.0017197
7821,-0.0042137,0.0013087,0.0015677
7822,-0.0042126,0.0013822,0.0016027
7823,-0.0042115,0.0014571,0.0016362
7824,-0.0042099,0.0015334,0.0016678
7953,-0.0041473,0.0013472,0.001654
7954,-0.0041475,0.0014218,0.001688
7955,-0.0041477,0.0014979,0.0017206
8085,-0.0040801,0.0013874,0.0017364
8086,-0.0040818,0.0014635,0.0017697
8664,-0.0036884,-0.0044775,-0.00142
8665,-0.0037327,-0.0044452,-0.0013422
8666,-0.0037756,-0.004411,-0.0012657
8796,-0.0036423,-0.0045272,-0.0013701
8797,-0.0036859,-0.004495,-0.00129
8798,-0.0037281,-0.0044609,-0.0012118
8929,-0.0035952,-0.0045746,-0.0013198
8930,-0.0036378,-0.004543,-0.001238
8931,-0.003679,-0.0045093,-0.0011583
9017,-0.0035943,0.0019048,0.0022941
9064,-0.0035878,-0.0045886,-0.001185
9150,-0.0035267,0.0018,0.0023021
9151,-0.0035225,0.0018814,0.0023283
9152,-0.0035165,0.0019634,0.0023518
9284,-0.0034523,0.0017791,0.0023316
9285,-0.003449,0.0018596,0.0023592
9286,-0.003444,0.0019408,0.0023843
9949,-0.0030511,0.00071973,0.0020177
9950,-0.0030211,0.0008051,0.0020002
9957,-0.003031,0.0013468,0.0022081
9958,-0.0030418,0.001416,0.0022606
10086,-0.0029787,0.00070279,0.0020497
10087,-0.0029494,0.00078863,0.0020308
10094,-0.0029514,0.0013335,0.002219
10095,-0.0029621,0.0014017,0.0022719
10096,-0.0029707,0.0014701,0.0023228
10286,-0.0029288,-0.0050294,-0.00096086
10287,-0.0029653,-0.0049978,-0.00088077
10288,-0.0030009,-0.0049643,-0.00080166
10382,-0.0028093,0.0021885,0.0026839
10424,-0.002863,-0.0050602,-0.00091722
10425,-0.002898,-0.0050284,-0.00083693
10426,-0.0029321,-0.0049943,-0.00075683
10427,-0.002965,-0.0049582,-0.00067723
10519,-0.0027361,0.0020896,0.0026769
10520,-0.0027326,0.0021705,0.0027004
10521,-0.0027288,0.0022513,0.0027231
10564,-0.0027946,-0.0050895,-0.00087335
10565,-0.0028283,-0.0050571,-0.00079363
