"vtkOriginalPointIds","Points:0","Points:1","Points:2"
4420,-0.0041042,-0.0025657,-0.0033192
4421,-0.0041405,-0.0025246,-0.0032663
4422,-0.0041756,-0.0024805,-0.0032146
4423,-0.0042093,-0.0024321,-0.0031641
4534,-0.0040162,-0.002699,-0.003373
4535,-0.0040554,-0.0026562,-0.0033156
4536,-0.0040933,-0.0026138,-0.0032599
4537,-0.0041305,-0.0025713,-0.003206
4538,-0.004166,-0.0025265,-0.0031533
4539,-0.0041999,-0.0024779,-0.0031018
4540,-0.0042337,-0.0024261,-0.0030524
4541,-0.0042689,-0.0023721,-0.0030056
4648,-0.0039175,-0.0028349,-0.0034348
4649,-0.0039603,-0.0027918,-0.0033736
4650,-0.0040027,-0.0027491,-0.0033144
4651,-0.0040429,-0.0027057,-0.0032567
4652,-0.0040817,-0.0026618,-0.0032005
4653,-0.0041197,-0.0026176,-0.0031456
4654,-0.0041559,-0.0025717,-0.0030918
4655,-0.0041901,-0.0025228,-0.0030394
4656,-0.0042237,-0.002471,-0.0029892
4657,-0.0042585,-0.002417,-0.0029417
4658,-0.0042947,-0.0023606,-0.002896
4765,-0.0039056,-0.0028862,-0.0033748
4766,-0.0039479,-0.0028426,-0.0033141
4767,-0.0039903,-0.0027991,-0.0032546
4768,-0.0040311,-0.0027549,-0.0031969
4769,-0.0040702,-0.0027099,-0.0031405
4770,-0.0041086,-0.0026642,-0.0030849
4771,-0.0041455,-0.002617,-0.0030303
4772,-0.0041802,-0.0025672,-0.002977
4773,-0.0042138,-0.0025152,-0.002926
4774,-0.0042485,-0.0024613,-0.0028774
4775,-0.0042841,-0.0024052,-0.0028307
4776,-0.0043197,-0.0023468,-0.0027847
4882,-0.0038572,-0.0029844,-0.0033766
4883,-0.0038958,-0.0029392,-0.0033144
4884,-0.003937,-0.0028943,-0.0032533
4885,-0.003979,-0.0028492,-0.0031936
4886,-0.0040198,-0.0028039,-0.0031357
4887,-0.0040592,-0.0027581,-0.0030791
4888,-0.0040977,-0.0027114,-0.0030233
4889,-0.0041348,-0.002663,-0.0029682
4890,-0.0041698,-0.0026123,-0.0029142
4891,-0.0042038,-0.0025599,-0.0028622
4892,-0.0042382,-0.002506,-0.0028125
4893,-0.004273,-0.0024502,-0.0027648
4894,-0.0043076,-0.0023923,-0.0027183
5000,-0.0038481,-0.0030376,-0.0033158
5001,-0.0038867,-0.0029923,-0.0032536
5002,-0.003927,-0.0029466,-0.003192
5003,-0.0039681,-0.0028999,-0.0031317
5004,-0.0040087,-0.0028533,-0.0030732
5005,-0.0040484,-0.0028068,-0.0030164
5006,-0.0040872,-0.0027592,-0.0029605
